bank_id,destination,section,exact_i_can,stage,evidence_job,mastery_goal,representation,security,summative_version
U7_SUM_SUMMATIVE_V5_09,Summative V5,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,summative-secure,V5
U7_SUM_SUMMATIVE_V5_10,Summative V5,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Context + Equation,summative-secure,V5
U7_SUM_SUMMATIVE_V6_01,Summative V6,,Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,Mastery,Summative evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Equation + Context,summative-secure,V6
U7_SUM_SUMMATIVE_V6_02,Summative V6,,Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,Mastery,Summative evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Equation,summative-secure,V6
U7_SUM_SUMMATIVE_V6_03,Summative V6,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Table + Equation,summative-secure,V6
U7_SUM_SUMMATIVE_V6_04,Summative V6,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,summative-secure,V6
U7_SUM_SUMMATIVE_V6_05,Summative V6,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation + Context,summative-secure,V6
U7_SUM_SUMMATIVE_V6_06,Summative V6,,"Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",Mastery,"Summative evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Graph + Equation,summative-secure,V6
U7_SUM_SUMMATIVE_V6_07,Summative V6,,"Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",Mastery,"Summative evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Equation,summative-secure,V6
U7_SUM_SUMMATIVE_V6_08,Summative V6,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Context + Equation,summative-secure,V6
U7_SUM_SUMMATIVE_V6_09,Summative V6,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,summative-secure,V6
U7_SUM_SUMMATIVE_V6_10,Summative V6,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,summative-secure,V6
