bank_id,destination,section,exact_target,mastery_goal_id,expected_evidence,representation,response_type,source_basis
U4-S1-CYU-03,CYU,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,The quadratic is the smooth U-shaped top-right graph; the absolute-value graph is the V-shaped bottom-right graph with a sharp corner.,Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-CYU-04,CYU,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,The exact constant first differences are stronger evidence and support a linear family.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-CYU-05,CYU,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,"The top-left has constant slope, while the bottom-left becomes progressively steeper. That change in rate distinguishes exponential from linear.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-CYU-06,CYU,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,The equation gives stronger exact evidence because of the squared term; the function is quadratic.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-WU1-01,Warm-Up 1,4.1,"Accurately perform operations with integers, fractions, and decimals while interpreting results in mathematical and contextual situations.",,Side numbers -3 and 5 give product -15 and sum 2; fill the blank cell(s) accordingly.,Diamond,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-WarmUp1-02,Warm-Up 1,4.1,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,,"$(2,3)$.",Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-WarmUp1-03,Warm-Up 1,4.1,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,,"$(-1,4)$.",Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-WarmUp1-04,Warm-Up 1,4.1,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,,"$(3,-2)$.",Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-WU2-01,Warm-Up 2,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,Quadratic; constant second differences.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-WU2-02,Warm-Up 2,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,"Linear, quadratic, exponential, absolute value.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-WarmUp2-03,Warm-Up 2,4.1,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,,"$(1,5)$.",Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-WarmUp2-04,Warm-Up 2,4.1,Analyze and compare linear relationships using multiple representations.,,A has slope -1 and intercept 4; B has slope 2 and intercept -1. B changes faster; A has the greater starting value.,Equation + Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-WU3-01,Warm-Up 3,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,A constant ratio supports an exponential relationship; the small graph window is less decisive than the exact multiplicative table pattern.,Multiple-representation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-WarmUp3-02,Warm-Up 3,4.1,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,,"$(1,5)$.",Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-WarmUp3-03,Warm-Up 3,4.1,Analyze and compare linear relationships using multiple representations.,,A has slope -1 and intercept 4; B has slope 2 and intercept -1. B changes faster; A has the greater starting value.,Equation + Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-WarmUp3-04,Warm-Up 3,4.1,Analyze and compare linear relationships using multiple representations.,,A has slope 3 and intercept 0; B has slope 0.5 and intercept 2. A changes faster; B has the greater starting value.,Equation + Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-ETA-01,Exit Ticket A,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,"Independent evidence of: I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-ETA-02,Exit Ticket A,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,"Independent evidence of: I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",Multiple-representation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-ETA-03,Exit Ticket A,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,Independent evidence of: I can determine which representation gives the strongest evidence for a function family when features seem similar.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-ETA-04,Exit Ticket A,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,"Independent evidence of: I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-ExitTicketB-01,Exit Ticket B,4.1,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,,"$(1,5)$.",Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-ExitTicketB-02,Exit Ticket B,4.1,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,,Correctly identifies a no-solution system from equal slopes and different intercepts and explains why the lines do not intersect.,Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-ExitTicketB-03,Exit Ticket B,4.1,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,,Recognizes equivalent equations as the same line and interprets that relationship as infinitely many solutions.,Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-ExitTicketB-04,Exit Ticket B,4.1,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,,"Produces two correct lines, locates their intersection at $(2,3)$, and interprets the intersection as the common solution.",Graph production + interpretation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-ETC-01,Exit Ticket C,4.1,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Portfolio evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Equation + Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-ETC-02,Exit Ticket C,4.1,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Compares slope and intercept in context, solves a crossover condition, and uses the comparison to make a contextual conclusion.",Context + Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-ETC-03,Exit Ticket C,4.1,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,Extracts comparable slope/intercept features from two different representations and uses them to compare behavior at a specified input.,Points + Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-ETC-04,Exit Ticket C,4.1,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,Distinguishes starting value from rate of change and critiques a misleading comparison using evidence from both representations.,Equation + Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-WTC-001,WTC,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"Every point moved right 3 and down 2; the vertex moves from $(0,0)$ to $(3,-2)$. The graph pair matches that translation.",Table + Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-EX-01,Notes Example,4.2,I can build translated graphs by moving key points and key features from a parent function.,,$y=(x+1)+5$,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-YTI-01,Notes YTI,4.2,I can build translated graphs by moving key points and key features from a parent function.,,1 unit left and 5 units up.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-EX-02,Notes Example,4.2,I can build translated graphs by moving key points and key features from a parent function.,,2 units right and 3 units up.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-YTI-02,Notes YTI,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"(1,4), (2,3), (3,4).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-EX-03,Notes Example,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,"(-4,-1), (-3,-2), (-2,-1).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-YTI-03,Notes YTI,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,"Left 2 and up 3, $y=|x+2|+3$.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-EX-04,Notes Example,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,"Right 2 and up 1, $y=(x-2)^2+1$.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-YTI-04,Notes YTI,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,"Inside the input, the sign acts oppositely: $x+4$ shifts the graph left 4. The vertical shift down 1 is correct.",Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-EX-05,Notes Example,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"The vertex moves from $(2,4)$ to $(5,4)$, so the graph shifts 3 units right.",Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-YTI-05,Notes YTI,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"The vertex moves from $(1,2)$ to $(-2,2)$, which is 3 units left.",Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-EX-06,Notes Example,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,$y=|(x-2)|+3$,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-YTI-06,Notes YTI,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"Only the vertical shift changed, from +3 to -1, so the graph moves 4 units down.",Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-01,Practice Set 1,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"(-4,-1), (-3,-2), (-2,-1).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-02,Practice Set 1,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"Left 2 and down 1, $y=(x+2)^2-1$.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-03,Practice Set 1,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"Inside the input, the sign acts oppositely: $x+4$ shifts the graph left 4. The vertical shift down 1 is correct.",Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-04,Practice Set 1,4.2,I can build translated graphs by moving key points and key features from a parent function.,,$y=(x-2)+3$,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-05,Practice Set 1,4.2,I can build translated graphs by moving key points and key features from a parent function.,,3 units left and 2 units down.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-06,Practice Set 1,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"(3,2), (4,1), (5,2).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-07,Practice Set 1,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,"Right 2 and down 2, $y=|x-2|-2$.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-08,Practice Set 1,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,The horizontal direction is reversed. The correct translation is right 4 and down 1.,Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-09,Practice Set 1,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,$y=|(x+3)|-2$,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-10,Practice Set 1,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,4 units right and 1 unit up.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-11,Practice Set 1,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,"(-2,6), (-1,5), (0,6).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-12,Practice Set 1,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,The right graph is $y=(x-1)^2-3$; it is shifted right 1 units and down 3 units.,Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-13,Practice Set 1,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"The vertex moves to $(-3,2)$, and $(1,1)$ moves to $(-2,3)$.",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-14,Practice Set 1,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"The graph is shifted left 3 units and up 2 units, so a matching equation is $y=(x+3)^2+2$. The horizontal sign appears opposite the direction of the shift because it changes the input.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-15,Practice Set 1,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,1 unit left and 5 units up.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-16,Practice Set 1,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"(1,4), (2,3), (3,4).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-17,Practice Set 1,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"The graph is shifted left 3 units and down 1 units, so a matching equation is $y=|x+3|-1$. The horizontal sign appears opposite the direction of the shift because it changes the input.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P1-18,Practice Set 1,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,The horizontal direction is reversed. The correct translation is left 2 and down 5. The sign inside the input acts opposite the visible horizontal movement.,Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet1-19,Practice Set 1,4.2,Graph and interpret linear inequalities.,,Use a solid boundary $y=3x+2$ and shade the region on/above the line.,Graph production,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet1-20,Practice Set 1,4.2,Graph and interpret linear inequalities.,,Use a solid boundary $y=x-2$ and shade the region on/above the line.,Graph production,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet1-21,Practice Set 1,4.2,Graph and interpret linear inequalities.,,Use a solid boundary $y=2x-1$ and shade the region on/above the line.,Graph production,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet1-22,Practice Set 1,4.2,Graph linear functions and interpret key features.,,$y=0.5x+1$; rate of change $=0.5$ and starting value $=1$.,Table + Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet1-23,Practice Set 1,4.2,Graph linear functions and interpret key features.,,$y=3x-2$; rate of change $=3$ and starting value $=-2$.,Table + Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet1-24,Practice Set 1,4.2,Graph linear functions and interpret key features.,,$y=2x-3$; rate of change $=2$ and starting value $=-3$.,Table + Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-01,Practice Set 2,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"Right 1 and up 3, $y=|x-1|+3$.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-02,Practice Set 2,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"Inside the input, the sign acts oppositely: $x+4$ shifts the graph left 4. The vertical shift down 1 is correct.",Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-03,Practice Set 2,4.2,I can build translated graphs by moving key points and key features from a parent function.,,$y=(x+1)+5$,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-04,Practice Set 2,4.2,I can build translated graphs by moving key points and key features from a parent function.,,2 units right and 3 units up.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-05,Practice Set 2,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"(-4,-1), (-3,-2), (-2,-1).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-06,Practice Set 2,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"(3,2), (4,1), (5,2).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-07,Practice Set 2,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,The right graph is $y=|x-3|+1$; it is shifted right 3 units and up 1 units.,Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-08,Practice Set 2,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,$y=|(x-2)|+3$,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-09,Practice Set 2,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,3 units left and 2 units down.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-10,Practice Set 2,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,"$y=(x+1)^2+4$ with vertex $(-1,4)$.",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-11,Practice Set 2,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,The right graph is $y=|x+2|+3$; it is shifted left 2 units and up 3 units.,Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-12,Practice Set 2,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,The horizontal direction is reversed. The correct translation is right 1 and up 4.,Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-13,Practice Set 2,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"The vertex moves to $(4,-2)$, and $(1,1)$ moves to $(5,-1)$.",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-14,Practice Set 2,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"Right 4 and down 1, $y=(x-4)^2-1$.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-15,Practice Set 2,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"(-2,6), (-1,5), (0,6).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-16,Practice Set 2,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"The graph is shifted left 1 units and up 3 units, so a matching equation is $y=(x+1)^2+3$. The horizontal sign appears opposite the direction of the shift because it changes the input.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-17,Practice Set 2,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,The horizontal direction is reversed. The correct translation is left 5 and down 3. The sign inside the input acts opposite the visible horizontal movement.,Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P2-18,Practice Set 2,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,$y=(x-4)+1$,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet2-19,Practice Set 2,4.2,Graph and interpret linear inequalities.,,Use a solid boundary $y=x+2$ and shade the region on/above the line.,Graph production,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet2-20,Practice Set 2,4.2,Graph and interpret linear inequalities.,,Use a solid boundary $y=2x-2$ and shade the region on/above the line.,Graph production,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet2-21,Practice Set 2,4.2,Graph and interpret linear inequalities.,,Use a solid boundary $y=3x-1$ and shade the region on/above the line.,Graph production,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet2-22,Practice Set 2,4.2,Graph linear functions and interpret key features.,,$y=0.5x+1$; rate of change $=0.5$ and starting value $=1$.,Table + Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet2-23,Practice Set 2,4.2,Graph linear functions and interpret key features.,,$y=3x-2$; rate of change $=3$ and starting value $=-2$.,Table + Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet2-24,Practice Set 2,4.2,Graph linear functions and interpret key features.,,$y=2x-3$; rate of change $=2$ and starting value $=-3$.,Table + Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-01,Practice Set 3,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"Inside the input, the sign acts oppositely: $x-3$ shifts the graph right 3 units. The vertical shift up 2 units is correct.",Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-02,Practice Set 3,4.2,I can build translated graphs by moving key points and key features from a parent function.,,$y=(x-4)+1$,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-03,Practice Set 3,4.2,I can build translated graphs by moving key points and key features from a parent function.,,1 unit left and 5 units up.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-04,Practice Set 3,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"(1,4), (2,3), (3,4).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-05,Practice Set 3,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"Right 4 and down 2, $y=|x-4|-2$.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-06,Practice Set 3,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"(-3,-2), (-2,-3), (-1,-2).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-07,Practice Set 3,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,The right graph is $y=|x+4|+1$; it is shifted left 4 units and up 1 units.,Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-08,Practice Set 3,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,2 units right and 3 units up.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-09,Practice Set 3,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,"(1,0), (2,-1), (3,0).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-10,Practice Set 3,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,"Right 3 and up 2, $y=(x-3)^2+2$.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-11,Practice Set 3,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,The horizontal direction is reversed. The correct translation is left 3 and up 2.,Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-12,Practice Set 3,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,$y=(x-2)^2+3$,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-13,Practice Set 3,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"The vertex moves to $(3,-3)$, and $(1,1)$ moves to $(4,-2)$.",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-14,Practice Set 3,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"The graph is shifted left 4 units and down 2 units, so a matching equation is $y=(x+4)^2-2$. The horizontal sign appears opposite the direction of the shift because it changes the input.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-15,Practice Set 3,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,"The graph is shifted right 2 units and up 3 units, so a matching equation is $y=|x-2|+3$. The horizontal sign appears opposite the direction of the shift because it changes the input.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-16,Practice Set 3,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,The horizontal direction is reversed. The correct translation is right 4 and down 1. The sign inside the input acts opposite the visible horizontal movement.,Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-17,Practice Set 3,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,$y=(x+3)-2$,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-P3-18,Practice Set 3,4.2,"I can predict how changing values in an equation moves a graph left, right, up, or down.",,4 units right and 1 unit up.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet3-19,Practice Set 3,4.2,Graph and interpret linear inequalities.,,Use a solid boundary $y=2x+2$ and shade the region on/above the line.,Graph production,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet3-20,Practice Set 3,4.2,Graph and interpret linear inequalities.,,Use a solid boundary $y=3x-2$ and shade the region on/above the line.,Graph production,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet3-21,Practice Set 3,4.2,Graph and interpret linear inequalities.,,Use a solid boundary $y=x-1$ and shade the region on/above the line.,Graph production,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet3-22,Practice Set 3,4.2,Graph linear functions and interpret key features.,,$y=2x+1$; rate of change $=2$ and starting value $=1$.,Table + Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet3-23,Practice Set 3,4.2,Graph linear functions and interpret key features.,,$y=-2x+3$; rate of change $=-2$ and starting value $=3$.,Table + Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PracticeSet3-24,Practice Set 3,4.2,Graph linear functions and interpret key features.,,$y=0.5x-4$; rate of change $=0.5$ and starting value $=-4$.,Table + Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PX-01,Extra Practice,4.2,I can build translated graphs by moving key points and key features from a parent function.,,$y=(x+3)-2$,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PX-02,Extra Practice,4.2,I can build translated graphs by moving key points and key features from a parent function.,,5 units right and 2 units down.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PX-03,Extra Practice,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"(0,-3), (1,-4), (2,-3).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PX-04,Extra Practice,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"Right 2 and down 3, $y=(x-2)^2-3$.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PX-05,Extra Practice,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"Inside the input, the sign acts oppositely: $x+2$ shifts the graph left 2 units. The vertical shift up 4 units is correct.",Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PX-06,Extra Practice,4.2,I can build translated graphs by moving key points and key features from a parent function.,,"(4,3), (5,2), (6,3).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PX-07,Extra Practice,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,"Left 3 and up 2, $y=|x+3|+2$.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PX-08,Extra Practice,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,"(-4,2), (-3,1), (-2,2).",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PX-09,Extra Practice,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,The right graph is $y=|x-1|-2$; it is shifted right 1 units and down 2 units.,Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S2-PX-10,Extra Practice,4.2,I can use horizontal and vertical shifts to write equations for translated functions.,,The horizontal direction is reversed. The correct translation is left 2 and down 5.,Equation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
