bank_id,destination,section,spiral_stage,exact_target,mastery_goal,evidence_job,representation,response_type,source_basis,summative_version
U6_SUM_V4_Q04,Secure Summative V4,SUM,Mastery,I can determine which representation gives the strongest evidence for a function family when features seem similar.,U6-MG01,"Independent secure evidence for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Graph + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V4
U6_SUM_V4_Q05,Secure Summative V4,SUM,Mastery,"I can construct connections between polynomial structure, quadratic graphs, and key features.",U6-MG04,"Independent secure evidence for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equivalent equations + Graph features,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V4
U6_SUM_V4_Q06,Secure Summative V4,SUM,Mastery,"I can formulate polynomial sums, differences, and products from area, perimeter, and expression contexts.",U6-MG03,"Independent secure evidence for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Context + Polynomial,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V4
U6_SUM_V4_Q07,Secure Summative V4,SUM,Mastery,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",U6-MG01,"Independent secure evidence for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Table + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V4
U6_SUM_V4_Q08,Secure Summative V4,SUM,Mastery,I can apply transformation rules to key points and features across function families.,U6-MG02,"Independent secure evidence for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Table + Equation + Key points,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V4
U6_SUM_V5_Q01,Secure Summative V5,SUM,Mastery,I can apply transformation rules to key points and features across function families.,U6-MG02,"Independent alternate-form secure evidence for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Table + Transformation rule,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V5
U6_SUM_V5_Q02,Secure Summative V5,SUM,Mastery,"I can critique whether a polynomial expression supports a claimed vertex, intercept, axis of symmetry, or direction of opening.",U6-MG04,"Independent alternate-form secure evidence for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equation + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V5
U6_SUM_V5_Q03,Secure Summative V5,SUM,Mastery,I can determine which representation gives the strongest evidence for a function family when features seem similar.,U6-MG01,"Independent alternate-form secure evidence for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Table + Equation + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V5
U6_SUM_V5_Q04,Secure Summative V5,SUM,Mastery,I can extend polynomial operations to equivalent expressions written in different forms.,U6-MG03,"Independent alternate-form secure evidence for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Polynomial expression,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V5
U6_SUM_V5_Q05,Secure Summative V5,SUM,Mastery,"I can construct connections between polynomial structure, quadratic graphs, and key features.",U6-MG04,"Independent alternate-form secure evidence for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equations + Graph features,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V5
U6_SUM_V5_Q06,Secure Summative V5,SUM,Mastery,"I can design transformed graphs using stretches, compressions, reflections, and translations of parent functions.",U6-MG02,"Independent alternate-form secure evidence for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Equation + Key feature,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V5
U6_SUM_V5_Q07,Secure Summative V5,SUM,Mastery,"I can formulate polynomial sums, differences, and products from area, perimeter, and expression contexts.",U6-MG03,"Independent alternate-form secure evidence for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Area model + Polynomial,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V5
U6_SUM_V5_Q08,Secure Summative V5,SUM,Mastery,I can determine which representation gives the strongest evidence for a function family when features seem similar.,U6-MG01,"Independent alternate-form secure evidence for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Equation + Table + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V5
U6_SUM_V6_Q01,Secure Summative V6,SUM,Mastery,I can extend polynomial operations to equivalent expressions written in different forms.,U6-MG03,"Independent alternate-form secure evidence for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Context + Polynomial + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V6
U6_SUM_V6_Q02,Secure Summative V6,SUM,Mastery,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",U6-MG01,"Independent alternate-form secure evidence for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Context + Equation + Table pattern,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V6
U6_SUM_V6_Q03,Secure Summative V6,SUM,Mastery,"I can design transformed graphs using stretches, compressions, reflections, and translations of parent functions.",U6-MG02,"Independent alternate-form secure evidence for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Graph + Equation,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V6
U6_SUM_V6_Q04,Secure Summative V6,SUM,Mastery,"I can construct connections between polynomial structure, quadratic graphs, and key features.",U6-MG04,"Independent alternate-form secure evidence for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Table + Equation + Graph features,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V6
U6_SUM_V6_Q05,Secure Summative V6,SUM,Mastery,I can determine which representation gives the strongest evidence for a function family when features seem similar.,U6-MG01,"Independent alternate-form secure evidence for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Table + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V6
U6_SUM_V6_Q06,Secure Summative V6,SUM,Mastery,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",U6-MG03,"Independent alternate-form secure evidence for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Polynomial expression,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V6
U6_SUM_V6_Q07,Secure Summative V6,SUM,Mastery,"I can construct connections between polynomial structure, quadratic graphs, and key features.",U6-MG04,"Independent alternate-form secure evidence for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equations + Graph features,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V6
U6_SUM_V6_Q08,Secure Summative V6,SUM,Mastery,"I can design transformed graphs using stretches, compressions, reflections, and translations of parent functions.",U6-MG02,"Independent alternate-form secure evidence for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Equation + Key point,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V6
