bank_id,destination,section,label,exact_target,mastery_goal,spiral_stage,question_family_id,variation,task_architecture,representation,response_type,security,summative_version
u5_51_076,Practice Set 3,5.1,Practice Set 3 — 15,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-VERIFY,form3-q15,direct-procedure,Equation,constructed/open response,instructional,
u5_51_077,Practice Set 3,5.1,Practice Set 3 — 16,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-ERROR-GCF,form3-q16,ERROR-DIAGNOSE-WORKED-SOLUTION-01,Equation,constructed/open response,instructional,
u5_51_078,Practice Set 3,5.1,Practice Set 3 — 17,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-NEGATIVE-GCF,form3-q17,direct-procedure,Equation,constructed/open response,instructional,
u5_51_079,Practice Set 3,5.1,Practice Set 3 — 18,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-AREA-STRUCTURE,form3-q18,REPTRANS-CONTEXT-EQUATION-01,Context,constructed/open response,instructional,
u5_51_080,Practice Set 3,5.1,Practice Set 3 — 19,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-COMPARE-FORMS,form3-q19,COMPARE-MODEL-SELECTION-01,Equation,constructed/open response,instructional,
u5_51_081,Practice Set 3,5.1,Practice Set 3 — 20,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-REVERSE-EXPAND,form3-q20,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_51_082,Practice Set 3,5.1,Practice Set 3 — 21,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form3-q21,direct-procedure,Equation,constructed/open response,instructional,
u5_51_083,Practice Set 3,5.1,Practice Set 3 — 22,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-VERIFY,form3-q22,direct-procedure,Equation,constructed/open response,instructional,
u5_51_084,Practice Set 3,5.1,Practice Set 3 — 23,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-SHARED-QUANTITY,form3-q23,REPTRANS-CONTEXT-EQUATION-01,Context,constructed/open response,instructional,
u5_51_085,Practice Set 3,5.1,Practice Set 3 — 24,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-CRITIQUE-GCF,form3-q24,COMPARE-MODEL-SELECTION-01,Equation,constructed/open response,instructional,
u5_51_086,Extra Practice,5.1,Extra Practice — 1,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form4-q01,direct-procedure,Equation,constructed/open response,instructional,
u5_51_087,Extra Practice,5.1,Extra Practice — 2,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form4-q02,direct-procedure,Equation,constructed/open response,instructional,
u5_51_088,Extra Practice,5.1,Extra Practice — 3,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form4-q03,direct-procedure,Equation,constructed/open response,instructional,
u5_51_089,Extra Practice,5.1,Extra Practice — 4,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form4-q04,direct-procedure,Equation,constructed/open response,instructional,
u5_51_090,Extra Practice,5.1,Extra Practice — 5,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form4-q05,direct-procedure,Equation,constructed/open response,instructional,
u5_51_091,Extra Practice,5.1,Extra Practice — 6,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form4-q06,direct-procedure,Equation,constructed/open response,instructional,
u5_51_092,Extra Practice,5.1,Extra Practice — 7,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form4-q07,direct-procedure,Equation,constructed/open response,instructional,
u5_51_093,Extra Practice,5.1,Extra Practice — 8,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form4-q08,direct-procedure,Equation,constructed/open response,instructional,
u5_51_094,Extra Practice,5.1,Extra Practice — 9,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form4-q09,direct-procedure,Equation,constructed/open response,instructional,
u5_51_095,Extra Practice,5.1,Extra Practice — 10,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form4-q10,direct-procedure,Equation,constructed/open response,instructional,
u5_51_096,Extra Practice,5.1,Extra Practice — 11,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form4-q11,direct-procedure,Equation,constructed/open response,instructional,
u5_51_097,Extra Practice,5.1,Extra Practice — 12,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form4-q12,direct-procedure,Equation,constructed/open response,instructional,
u5_51_098,Extra Practice,5.1,Extra Practice — 13,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-TERM-TABLE,form4-q13,REPTRANS-TABLE-EQUATION-01,Table,constructed/open response,instructional,
u5_51_099,Extra Practice,5.1,Extra Practice — 14,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-MISSING-FACTOR,form4-q14,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_51_100,Extra Practice,5.1,Extra Practice — 15,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-VERIFY,form4-q15,direct-procedure,Equation,constructed/open response,instructional,
u5_51_101,Extra Practice,5.1,Extra Practice — 16,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-ERROR-GCF,form4-q16,ERROR-DIAGNOSE-WORKED-SOLUTION-01,Equation,constructed/open response,instructional,
u5_51_102,Extra Practice,5.1,Extra Practice — 17,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-NEGATIVE-GCF,form4-q17,direct-procedure,Equation,constructed/open response,instructional,
u5_51_103,Extra Practice,5.1,Extra Practice — 18,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-AREA-STRUCTURE,form4-q18,REPTRANS-CONTEXT-EQUATION-01,Context,constructed/open response,instructional,
u5_51_104,Extra Practice,5.1,Extra Practice — 19,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-COMPARE-FORMS,form4-q19,COMPARE-MODEL-SELECTION-01,Equation,constructed/open response,instructional,
u5_51_105,Extra Practice,5.1,Extra Practice — 20,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-REVERSE-EXPAND,form4-q20,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_51_106,Extra Practice,5.1,Extra Practice — 21,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form4-q21,direct-procedure,Equation,constructed/open response,instructional,
u5_51_107,Extra Practice,5.1,Extra Practice — 22,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-VERIFY,form4-q22,direct-procedure,Equation,constructed/open response,instructional,
u5_51_108,Extra Practice,5.1,Extra Practice — 23,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-SHARED-QUANTITY,form4-q23,REPTRANS-CONTEXT-EQUATION-01,Context,constructed/open response,instructional,
u5_51_109,Extra Practice,5.1,Extra Practice — 24,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-CRITIQUE-GCF,form4-q24,COMPARE-MODEL-SELECTION-01,Equation,constructed/open response,instructional,
u5_52_014,Practice Set 1,5.2,Practice Set 1 — 1,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form1-q01,direct-procedure,Equation,constructed/open response,instructional,
u5_52_015,Practice Set 1,5.2,Practice Set 1 — 2,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form1-q02,direct-procedure,Equation,constructed/open response,instructional,
u5_52_016,Practice Set 1,5.2,Practice Set 1 — 3,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form1-q03,direct-procedure,Equation,constructed/open response,instructional,
u5_52_017,Practice Set 1,5.2,Practice Set 1 — 4,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form1-q04,direct-procedure,Equation,constructed/open response,instructional,
u5_52_018,Practice Set 1,5.2,Practice Set 1 — 5,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form1-q05,direct-procedure,Equation,constructed/open response,instructional,
u5_52_019,Practice Set 1,5.2,Practice Set 1 — 6,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form1-q06,direct-procedure,Equation,constructed/open response,instructional,
u5_52_020,Practice Set 1,5.2,Practice Set 1 — 7,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form1-q07,direct-procedure,Equation,constructed/open response,instructional,
u5_52_021,Practice Set 1,5.2,Practice Set 1 — 8,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form1-q08,direct-procedure,Equation,constructed/open response,instructional,
u5_52_022,Practice Set 1,5.2,Practice Set 1 — 9,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form1-q09,direct-procedure,Equation,constructed/open response,instructional,
u5_52_023,Practice Set 1,5.2,Practice Set 1 — 10,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form1-q10,direct-procedure,Equation,constructed/open response,instructional,
u5_52_024,Practice Set 1,5.2,Practice Set 1 — 11,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form1-q11,direct-procedure,Equation,constructed/open response,instructional,
u5_52_025,Practice Set 1,5.2,Practice Set 1 — 12,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form1-q12,direct-procedure,Equation,constructed/open response,instructional,
u5_52_026,Practice Set 1,5.2,Practice Set 1 — 13,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form1-q13,direct-procedure,Equation,constructed/open response,instructional,
u5_52_027,Practice Set 1,5.2,Practice Set 1 — 14,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form1-q14,direct-procedure,Equation,constructed/open response,instructional,
u5_52_028,Practice Set 1,5.2,Practice Set 1 — 15,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-PRODUCT-SUM-TABLE,form1-q15,REPTRANS-TABLE-EQUATION-01,Table,constructed/open response,instructional,
u5_52_029,Practice Set 1,5.2,Practice Set 1 — 16,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-PRODUCT-SUM-TABLE,form1-q16,REPTRANS-TABLE-EQUATION-01,Equation,constructed/open response,instructional,
u5_52_030,Practice Set 1,5.2,Practice Set 1 — 17,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-MISSING-FACTOR,form1-q17,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_52_031,Practice Set 1,5.2,Practice Set 1 — 18,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-MISSING-CONSTANT,form1-q18,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_52_032,Practice Set 1,5.2,Practice Set 1 — 19,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-VERIFY,form1-q19,ERROR-DIAGNOSE-WORKED-SOLUTION-01,Equation,constructed/open response,instructional,
u5_52_033,Practice Set 1,5.2,Practice Set 1 — 20,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-AREA-MODEL,form1-q20,REPTRANS-CONTEXT-EQUATION-01,Context,constructed/open response,instructional,
u5_52_034,Practice Set 1,5.2,Practice Set 1 — 21,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form1-q21,direct-procedure,Equation,constructed/open response,instructional,
u5_52_035,Practice Set 1,5.2,Practice Set 1 — 22,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form1-q22,direct-procedure,Equation,constructed/open response,instructional,
u5_52_036,Practice Set 1,5.2,Practice Set 1 — 23,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-COMPARE-PAIRS,form1-q23,COMPARE-MODEL-SELECTION-01,Equation,constructed/open response,instructional,
u5_52_037,Practice Set 1,5.2,Practice Set 1 — 24,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-SIGN-REASONING,form1-q24,direct-procedure,Equation,constructed/open response,instructional,
u5_52_038,Practice Set 2,5.2,Practice Set 2 — 1,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form2-q01,direct-procedure,Equation,constructed/open response,instructional,
u5_52_039,Practice Set 2,5.2,Practice Set 2 — 2,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form2-q02,direct-procedure,Equation,constructed/open response,instructional,
u5_52_040,Practice Set 2,5.2,Practice Set 2 — 3,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form2-q03,direct-procedure,Equation,constructed/open response,instructional,
u5_52_041,Practice Set 2,5.2,Practice Set 2 — 4,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form2-q04,direct-procedure,Equation,constructed/open response,instructional,
u5_52_042,Practice Set 2,5.2,Practice Set 2 — 5,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form2-q05,direct-procedure,Equation,constructed/open response,instructional,
u5_52_043,Practice Set 2,5.2,Practice Set 2 — 6,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form2-q06,direct-procedure,Equation,constructed/open response,instructional,
u5_52_044,Practice Set 2,5.2,Practice Set 2 — 7,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form2-q07,direct-procedure,Equation,constructed/open response,instructional,
u5_52_045,Practice Set 2,5.2,Practice Set 2 — 8,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form2-q08,direct-procedure,Equation,constructed/open response,instructional,
u5_52_046,Practice Set 2,5.2,Practice Set 2 — 9,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form2-q09,direct-procedure,Equation,constructed/open response,instructional,
u5_52_047,Practice Set 2,5.2,Practice Set 2 — 10,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form2-q10,direct-procedure,Equation,constructed/open response,instructional,
u5_52_048,Practice Set 2,5.2,Practice Set 2 — 11,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form2-q11,direct-procedure,Equation,constructed/open response,instructional,
u5_52_049,Practice Set 2,5.2,Practice Set 2 — 12,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form2-q12,direct-procedure,Equation,constructed/open response,instructional,
u5_52_050,Practice Set 2,5.2,Practice Set 2 — 13,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form2-q13,direct-procedure,Equation,constructed/open response,instructional,
u5_52_051,Practice Set 2,5.2,Practice Set 2 — 14,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form2-q14,direct-procedure,Equation,constructed/open response,instructional,
u5_52_052,Practice Set 2,5.2,Practice Set 2 — 15,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-PRODUCT-SUM-TABLE,form2-q15,REPTRANS-TABLE-EQUATION-01,Table,constructed/open response,instructional,
u5_52_053,Practice Set 2,5.2,Practice Set 2 — 16,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-PRODUCT-SUM-TABLE,form2-q16,REPTRANS-TABLE-EQUATION-01,Equation,constructed/open response,instructional,
u5_52_054,Practice Set 2,5.2,Practice Set 2 — 17,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-MISSING-FACTOR,form2-q17,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_52_055,Practice Set 2,5.2,Practice Set 2 — 18,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-MISSING-CONSTANT,form2-q18,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_52_056,Practice Set 2,5.2,Practice Set 2 — 19,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-VERIFY,form2-q19,ERROR-DIAGNOSE-WORKED-SOLUTION-01,Equation,constructed/open response,instructional,
u5_52_057,Practice Set 2,5.2,Practice Set 2 — 20,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-AREA-MODEL,form2-q20,REPTRANS-CONTEXT-EQUATION-01,Context,constructed/open response,instructional,
u5_52_058,Practice Set 2,5.2,Practice Set 2 — 21,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form2-q21,direct-procedure,Equation,constructed/open response,instructional,
u5_52_059,Practice Set 2,5.2,Practice Set 2 — 22,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form2-q22,direct-procedure,Equation,constructed/open response,instructional,
u5_52_060,Practice Set 2,5.2,Practice Set 2 — 23,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-COMPARE-PAIRS,form2-q23,COMPARE-MODEL-SELECTION-01,Equation,constructed/open response,instructional,
u5_52_061,Practice Set 2,5.2,Practice Set 2 — 24,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-SIGN-REASONING,form2-q24,direct-procedure,Equation,constructed/open response,instructional,
u5_52_062,Practice Set 3,5.2,Practice Set 3 — 1,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form3-q01,direct-procedure,Equation,constructed/open response,instructional,
u5_52_063,Practice Set 3,5.2,Practice Set 3 — 2,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form3-q02,direct-procedure,Equation,constructed/open response,instructional,
u5_52_064,Practice Set 3,5.2,Practice Set 3 — 3,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form3-q03,direct-procedure,Equation,constructed/open response,instructional,
u5_52_065,Practice Set 3,5.2,Practice Set 3 — 4,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form3-q04,direct-procedure,Equation,constructed/open response,instructional,
u5_52_066,Practice Set 3,5.2,Practice Set 3 — 5,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form3-q05,direct-procedure,Equation,constructed/open response,instructional,
u5_52_067,Practice Set 3,5.2,Practice Set 3 — 6,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form3-q06,direct-procedure,Equation,constructed/open response,instructional,
u5_52_068,Practice Set 3,5.2,Practice Set 3 — 7,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form3-q07,direct-procedure,Equation,constructed/open response,instructional,
u5_52_069,Practice Set 3,5.2,Practice Set 3 — 8,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form3-q08,direct-procedure,Equation,constructed/open response,instructional,
u5_52_070,Practice Set 3,5.2,Practice Set 3 — 9,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form3-q09,direct-procedure,Equation,constructed/open response,instructional,
u5_52_071,Practice Set 3,5.2,Practice Set 3 — 10,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form3-q10,direct-procedure,Equation,constructed/open response,instructional,
u5_52_072,Practice Set 3,5.2,Practice Set 3 — 11,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form3-q11,direct-procedure,Equation,constructed/open response,instructional,
u5_52_073,Practice Set 3,5.2,Practice Set 3 — 12,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form3-q12,direct-procedure,Equation,constructed/open response,instructional,
u5_52_074,Practice Set 3,5.2,Practice Set 3 — 13,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form3-q13,direct-procedure,Equation,constructed/open response,instructional,
u5_52_075,Practice Set 3,5.2,Practice Set 3 — 14,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form3-q14,direct-procedure,Equation,constructed/open response,instructional,
u5_52_076,Practice Set 3,5.2,Practice Set 3 — 15,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-PRODUCT-SUM-TABLE,form3-q15,REPTRANS-TABLE-EQUATION-01,Table,constructed/open response,instructional,
u5_52_077,Practice Set 3,5.2,Practice Set 3 — 16,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-PRODUCT-SUM-TABLE,form3-q16,REPTRANS-TABLE-EQUATION-01,Equation,constructed/open response,instructional,
u5_52_078,Practice Set 3,5.2,Practice Set 3 — 17,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-MISSING-FACTOR,form3-q17,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_52_079,Practice Set 3,5.2,Practice Set 3 — 18,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-MISSING-CONSTANT,form3-q18,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_52_080,Practice Set 3,5.2,Practice Set 3 — 19,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-VERIFY,form3-q19,ERROR-DIAGNOSE-WORKED-SOLUTION-01,Equation,constructed/open response,instructional,
u5_52_081,Practice Set 3,5.2,Practice Set 3 — 20,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-AREA-MODEL,form3-q20,REPTRANS-CONTEXT-EQUATION-01,Context,constructed/open response,instructional,
u5_52_082,Practice Set 3,5.2,Practice Set 3 — 21,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form3-q21,direct-procedure,Equation,constructed/open response,instructional,
u5_52_083,Practice Set 3,5.2,Practice Set 3 — 22,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form3-q22,direct-procedure,Equation,constructed/open response,instructional,
u5_52_084,Practice Set 3,5.2,Practice Set 3 — 23,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-COMPARE-PAIRS,form3-q23,COMPARE-MODEL-SELECTION-01,Equation,constructed/open response,instructional,
u5_52_085,Practice Set 3,5.2,Practice Set 3 — 24,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-SIGN-REASONING,form3-q24,direct-procedure,Equation,constructed/open response,instructional,
u5_52_086,Extra Practice,5.2,Extra Practice — 1,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form4-q01,direct-procedure,Equation,constructed/open response,instructional,
u5_52_087,Extra Practice,5.2,Extra Practice — 2,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form4-q02,direct-procedure,Equation,constructed/open response,instructional,
u5_52_088,Extra Practice,5.2,Extra Practice — 3,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form4-q03,direct-procedure,Equation,constructed/open response,instructional,
u5_52_089,Extra Practice,5.2,Extra Practice — 4,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form4-q04,direct-procedure,Equation,constructed/open response,instructional,
u5_52_090,Extra Practice,5.2,Extra Practice — 5,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form4-q05,direct-procedure,Equation,constructed/open response,instructional,
u5_52_091,Extra Practice,5.2,Extra Practice — 6,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form4-q06,direct-procedure,Equation,constructed/open response,instructional,
u5_52_092,Extra Practice,5.2,Extra Practice — 7,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form4-q07,direct-procedure,Equation,constructed/open response,instructional,
u5_52_093,Extra Practice,5.2,Extra Practice — 8,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form4-q08,direct-procedure,Equation,constructed/open response,instructional,
u5_52_094,Extra Practice,5.2,Extra Practice — 9,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form4-q09,direct-procedure,Equation,constructed/open response,instructional,
u5_52_095,Extra Practice,5.2,Extra Practice — 10,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form4-q10,direct-procedure,Equation,constructed/open response,instructional,
u5_52_096,Extra Practice,5.2,Extra Practice — 11,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form4-q11,direct-procedure,Equation,constructed/open response,instructional,
u5_52_097,Extra Practice,5.2,Extra Practice — 12,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form4-q12,direct-procedure,Equation,constructed/open response,instructional,
u5_52_098,Extra Practice,5.2,Extra Practice — 13,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form4-q13,direct-procedure,Equation,constructed/open response,instructional,
u5_52_099,Extra Practice,5.2,Extra Practice — 14,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,form4-q14,direct-procedure,Equation,constructed/open response,instructional,
u5_52_100,Extra Practice,5.2,Extra Practice — 15,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-PRODUCT-SUM-TABLE,form4-q15,REPTRANS-TABLE-EQUATION-01,Table,constructed/open response,instructional,
u5_52_101,Extra Practice,5.2,Extra Practice — 16,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-PRODUCT-SUM-TABLE,form4-q16,REPTRANS-TABLE-EQUATION-01,Equation,constructed/open response,instructional,
u5_52_102,Extra Practice,5.2,Extra Practice — 17,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-MISSING-FACTOR,form4-q17,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_52_103,Extra Practice,5.2,Extra Practice — 18,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-MISSING-CONSTANT,form4-q18,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_52_104,Extra Practice,5.2,Extra Practice — 19,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-VERIFY,form4-q19,ERROR-DIAGNOSE-WORKED-SOLUTION-01,Equation,constructed/open response,instructional,
u5_52_105,Extra Practice,5.2,Extra Practice — 20,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-AREA-MODEL,form4-q20,REPTRANS-CONTEXT-EQUATION-01,Context,constructed/open response,instructional,
u5_52_106,Extra Practice,5.2,Extra Practice — 21,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form4-q21,direct-procedure,Equation,constructed/open response,instructional,
u5_52_107,Extra Practice,5.2,Extra Practice — 22,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC,form4-q22,direct-procedure,Equation,constructed/open response,instructional,
u5_52_108,Extra Practice,5.2,Extra Practice — 23,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-COMPARE-PAIRS,form4-q23,COMPARE-MODEL-SELECTION-01,Equation,constructed/open response,instructional,
u5_52_109,Extra Practice,5.2,Extra Practice — 24,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-SIGN-REASONING,form4-q24,direct-procedure,Equation,constructed/open response,instructional,
