order,bank_id,destination,section,i_can,stage,question_family_id,variation,representation,response_type,summative_version,mastery_goal_id
148,U8-S2-YTI-04,Notes YTI,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-KEY-POINTS,YTI4,Table,constructed/open response,,
149,U8-S2-EX-05,Notes Example,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-PARAM-DESCRIPTION,EX5,Equation,constructed/open response,,
150,U8-S2-YTI-05,Notes YTI,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-PARAM-DESCRIPTION,YTI5,Equation,constructed/open response,,
151,U8-S2-EX-06,Notes Example,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-GRAPH-PAIR,EX6,Graph,constructed/open response,,
152,U8-S2-YTI-06,Notes YTI,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-GRAPH-PAIR,YTI6,Graph,constructed/open response,,
153,U8-S2-P1-01,Practice Set 1,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-DESCRIBE-ABS,P1-1,Equation,constructed/open response,,
154,U8-S2-P1-02,Practice Set 1,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-RULE-EXP,P1-2,Equation,constructed/open response,,
155,U8-S2-P1-03,Practice Set 1,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-KEY-POINTS,P1-3,Table,constructed/open response,,
156,U8-S2-P1-04,Practice Set 1,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-PARAM-DESCRIPTION,P1-4,Equation,constructed/open response,,
157,U8-S2-P1-05,Practice Set 1,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-GRAPH-PAIR,P1-5,Graph,constructed/open response,,
158,U8-S2-P1-06,Practice Set 1,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-REVERSE-RULE,P1-6,Equation,constructed/open response,,
159,U8-S2-P1-07,Practice Set 1,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-SCALE-POINT,P1-7,Key point,constructed/open response,,
160,U8-S2-P1-08,Practice Set 1,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-CONTEXT-SHIFT,P1-8,Context + Equation,constructed/open response,,
161,U8-S2-P1-09,Practice Set 1,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-ACROSS-FAMILIES,P1-9,Equation/Concept,constructed/open response,,
162,U8-S2-P1-10,Practice Set 1,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-RULE-QUAD,P1-10,Equation,constructed/open response,,
163,U8-S2-P1-11,Practice Set 1,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-DESCRIBE-ABS,P1-11,Equation,constructed/open response,,
164,U8-S2-P1-12,Practice Set 1,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-RULE-EXP,P1-12,Equation,constructed/open response,,
165,U8-S2-P1-13,Practice Set 1,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-KEY-POINTS,P1-13,Table,constructed/open response,,
166,U8-S2-P1-14,Practice Set 1,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-PARAM-DESCRIPTION,P1-14,Equation,constructed/open response,,
167,U8-S2-P1-15,Practice Set 1,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-GRAPH-PAIR,P1-15,Graph,constructed/open response,,
168,U8-S2-P1-16,Practice Set 1,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-REVERSE-RULE,P1-16,Equation,constructed/open response,,
169,U8-S2-P1-17,Practice Set 1,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-SCALE-POINT,P1-17,Key point,constructed/open response,,
170,U8-S2-P1-18,Practice Set 1,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-CONTEXT-SHIFT,P1-18,Context + Equation,constructed/open response,,
171,U8-S2-P1-19,Practice Set 1,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-FEATURE,P1-19,Equation,constructed/open response,,
172,U8-S2-P1-20,Practice Set 1,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-GRAPH,P1-20,Graph,constructed/open response,,
173,U8-S2-P1-21,Practice Set 1,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-TABLE,P1-21,Table,constructed/open response,,
174,U8-S2-P1-22,Practice Set 1,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-SOLVE,P1-22,Equation,constructed/open response,,
175,U8-S2-P1-23,Practice Set 1,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-VERTEX,P1-23,Equation,constructed/open response,,
176,U8-S2-P1-24,Practice Set 1,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-TERM,P1-24,Equation,constructed/open response,,
177,U8-S2-P2-01,Practice Set 2,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-DESCRIBE-ABS,P2-1,Equation,constructed/open response,,
178,U8-S2-P2-02,Practice Set 2,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-RULE-EXP,P2-2,Equation,constructed/open response,,
179,U8-S2-P2-03,Practice Set 2,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-KEY-POINTS,P2-3,Table,constructed/open response,,
180,U8-S2-P2-04,Practice Set 2,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-PARAM-DESCRIPTION,P2-4,Equation,constructed/open response,,
181,U8-S2-P2-05,Practice Set 2,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-GRAPH-PAIR,P2-5,Graph,constructed/open response,,
182,U8-S2-P2-06,Practice Set 2,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-REVERSE-RULE,P2-6,Equation,constructed/open response,,
183,U8-S2-P2-07,Practice Set 2,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-SCALE-POINT,P2-7,Key point,constructed/open response,,
184,U8-S2-P2-08,Practice Set 2,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-CONTEXT-SHIFT,P2-8,Context + Equation,constructed/open response,,
185,U8-S2-P2-09,Practice Set 2,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-ACROSS-FAMILIES,P2-9,Equation/Concept,constructed/open response,,
186,U8-S2-P2-10,Practice Set 2,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-RULE-QUAD,P2-10,Equation,constructed/open response,,
187,U8-S2-P2-11,Practice Set 2,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-DESCRIBE-ABS,P2-11,Equation,constructed/open response,,
188,U8-S2-P2-12,Practice Set 2,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-RULE-EXP,P2-12,Equation,constructed/open response,,
189,U8-S2-P2-13,Practice Set 2,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-KEY-POINTS,P2-13,Table,constructed/open response,,
190,U8-S2-P2-14,Practice Set 2,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-PARAM-DESCRIPTION,P2-14,Equation,constructed/open response,,
191,U8-S2-P2-15,Practice Set 2,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-GRAPH-PAIR,P2-15,Graph,constructed/open response,,
192,U8-S2-P2-16,Practice Set 2,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-REVERSE-RULE,P2-16,Equation,constructed/open response,,
193,U8-S2-P2-17,Practice Set 2,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-SCALE-POINT,P2-17,Key point,constructed/open response,,
194,U8-S2-P2-18,Practice Set 2,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-CONTEXT-SHIFT,P2-18,Context + Equation,constructed/open response,,
195,U8-S2-P2-19,Practice Set 2,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-FEATURE,P2-19,Equation,constructed/open response,,
196,U8-S2-P2-20,Practice Set 2,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-GRAPH,P2-20,Graph,constructed/open response,,
197,U8-S2-P2-21,Practice Set 2,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-TABLE,P2-21,Table,constructed/open response,,
198,U8-S2-P2-22,Practice Set 2,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-SOLVE,P2-22,Equation,constructed/open response,,
199,U8-S2-P2-23,Practice Set 2,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-VERTEX,P2-23,Equation,constructed/open response,,
200,U8-S2-P2-24,Practice Set 2,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-TERM,P2-24,Equation,constructed/open response,,
201,U8-S2-P3-01,Practice Set 3,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-DESCRIBE-ABS,P3-1,Equation,constructed/open response,,
202,U8-S2-P3-02,Practice Set 3,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-RULE-EXP,P3-2,Equation,constructed/open response,,
203,U8-S2-P3-03,Practice Set 3,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-KEY-POINTS,P3-3,Table,constructed/open response,,
204,U8-S2-P3-04,Practice Set 3,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-PARAM-DESCRIPTION,P3-4,Equation,constructed/open response,,
205,U8-S2-P3-05,Practice Set 3,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-GRAPH-PAIR,P3-5,Graph,constructed/open response,,
206,U8-S2-P3-06,Practice Set 3,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-REVERSE-RULE,P3-6,Equation,constructed/open response,,
207,U8-S2-P3-07,Practice Set 3,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-SCALE-POINT,P3-7,Key point,constructed/open response,,
208,U8-S2-P3-08,Practice Set 3,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-CONTEXT-SHIFT,P3-8,Context + Equation,constructed/open response,,
209,U8-S2-P3-09,Practice Set 3,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-ACROSS-FAMILIES,P3-9,Equation/Concept,constructed/open response,,
210,U8-S2-P3-10,Practice Set 3,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-RULE-QUAD,P3-10,Equation,constructed/open response,,
211,U8-S2-P3-11,Practice Set 3,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-DESCRIBE-ABS,P3-11,Equation,constructed/open response,,
212,U8-S2-P3-12,Practice Set 3,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-RULE-EXP,P3-12,Equation,constructed/open response,,
213,U8-S2-P3-13,Practice Set 3,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-KEY-POINTS,P3-13,Table,constructed/open response,,
214,U8-S2-P3-14,Practice Set 3,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-PARAM-DESCRIPTION,P3-14,Equation,constructed/open response,,
215,U8-S2-P3-15,Practice Set 3,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-GRAPH-PAIR,P3-15,Graph,constructed/open response,,
216,U8-S2-P3-16,Practice Set 3,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-REVERSE-RULE,P3-16,Equation,constructed/open response,,
217,U8-S2-P3-17,Practice Set 3,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-SCALE-POINT,P3-17,Key point,constructed/open response,,
218,U8-S2-P3-18,Practice Set 3,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-CONTEXT-SHIFT,P3-18,Context + Equation,constructed/open response,,
219,U8-S2-P3-19,Practice Set 3,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-FEATURE,P3-19,Equation,constructed/open response,,
220,U8-S2-P3-20,Practice Set 3,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-GRAPH,P3-20,Graph,constructed/open response,,
221,U8-S2-P3-21,Practice Set 3,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-TABLE,P3-21,Table,constructed/open response,,
222,U8-S2-P3-22,Practice Set 3,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-SOLVE,P3-22,Equation,constructed/open response,,
223,U8-S2-P3-23,Practice Set 3,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-VERTEX,P3-23,Equation,constructed/open response,,
224,U8-S2-P3-24,Practice Set 3,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-TERM,P3-24,Equation,constructed/open response,,
225,U8-S2-PX-01,Extra Practice,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-DESCRIBE-ABS,PX-1,Equation,constructed/open response,,
226,U8-S2-PX-02,Extra Practice,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-RULE-EXP,PX-2,Equation,constructed/open response,,
227,U8-S2-PX-03,Extra Practice,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-KEY-POINTS,PX-3,Table,constructed/open response,,
228,U8-S2-PX-04,Extra Practice,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-PARAM-DESCRIPTION,PX-4,Equation,constructed/open response,,
229,U8-S2-PX-05,Extra Practice,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-GRAPH-PAIR,PX-5,Graph,constructed/open response,,
230,U8-S2-PX-06,Extra Practice,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-REVERSE-RULE,PX-6,Equation,constructed/open response,,
231,U8-S2-PX-07,Extra Practice,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-SCALE-POINT,PX-7,Key point,constructed/open response,,
232,U8-S2-PX-08,Extra Practice,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-CONTEXT-SHIFT,PX-8,Context + Equation,constructed/open response,,
233,U8-S2-PX-09,Extra Practice,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-ACROSS-FAMILIES,PX-9,Equation/Concept,constructed/open response,,
234,U8-S2-PX-10,Extra Practice,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-RULE-QUAD,PX-10,Equation,constructed/open response,,
235,U8-S2-PX-11,Extra Practice,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-DESCRIBE-ABS,PX-11,Equation,constructed/open response,,
236,U8-S2-PX-12,Extra Practice,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-RULE-EXP,PX-12,Equation,constructed/open response,,
237,U8-S2-PX-13,Extra Practice,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-KEY-POINTS,PX-13,Table,constructed/open response,,
238,U8-S2-PX-14,Extra Practice,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-PARAM-DESCRIPTION,PX-14,Equation,constructed/open response,,
239,U8-S2-PX-15,Extra Practice,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-GRAPH-PAIR,PX-15,Graph,constructed/open response,,
240,U8-S2-PX-16,Extra Practice,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-REVERSE-RULE,PX-16,Equation,constructed/open response,,
241,U8-S2-PX-17,Extra Practice,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-SCALE-POINT,PX-17,Key point,constructed/open response,,
242,U8-S2-PX-18,Extra Practice,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-CONTEXT-SHIFT,PX-18,Context + Equation,constructed/open response,,
243,U8-S2-PX-19,Extra Practice,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-FEATURE,PX-19,Equation,constructed/open response,,
244,U8-S2-PX-20,Extra Practice,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-GRAPH,PX-20,Graph,constructed/open response,,
245,U8-S2-PX-21,Extra Practice,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-TABLE,PX-21,Table,constructed/open response,,
246,U8-S2-PX-22,Extra Practice,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-SOLVE,PX-22,Equation,constructed/open response,,
247,U8-S2-PX-23,Extra Practice,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-VERTEX,PX-23,Equation,constructed/open response,,
248,U8-S2-PX-24,Extra Practice,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-TERM,PX-24,Equation,constructed/open response,,
249,U8-S2-CYU-01,CYU,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-DESCRIBE-ABS,CYU-1,Equation,constructed/open response,,
250,U8-S2-CYU-02,CYU,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-RULE-EXP,CYU-2,Equation,constructed/open response,,
251,U8-S2-CYU-03,CYU,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-KEY-POINTS,CYU-3,Table,constructed/open response,,
252,U8-S2-CYU-04,CYU,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-PARAM-DESCRIPTION,CYU-4,Equation,constructed/open response,,
253,U8-S2-CYU-05,CYU,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-GRAPH-PAIR,CYU-5,Graph,constructed/open response,,
254,U8-S2-CYU-06,CYU,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-REVERSE-RULE,CYU-6,Equation,constructed/open response,,
255,U8-S2-WU1-01,Warm-Up 1,8.2,Accurately perform operations with integers while using the Diamond Problem relationship.,Prior/Review,DIAMOND,S2,Diamond,constructed/open response,,
256,U8-S2-WU1-02,Warm-Up 1,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-GRAPH,WU1-2,Graph,constructed/open response,,
257,U8-S2-WU1-03,Warm-Up 1,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-TABLE,WU1-3,Table,constructed/open response,,
258,U8-S2-WU1-04,Warm-Up 1,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-FEATURE,WU1-4,Equation,constructed/open response,,
259,U8-S2-WU2-01,Warm-Up 2,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-DESCRIBE-ABS,WU2-1,Equation,constructed/open response,,
260,U8-S2-WU2-02,Warm-Up 2,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-RULE-EXP,WU2-2,Equation,constructed/open response,,
261,U8-S2-WU2-03,Warm-Up 2,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-FEATURE,WU2-3,Equation,constructed/open response,,
262,U8-S2-WU2-04,Warm-Up 2,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-VERTEX,WU2-4,Equation,constructed/open response,,
263,U8-S2-WU3-01,Warm-Up 3,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-DESCRIBE-ABS,WU3-1,Equation,constructed/open response,,
264,U8-S2-WU3-02,Warm-Up 3,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-FEATURE,WU3-2,Equation,constructed/open response,,
265,U8-S2-WU3-03,Warm-Up 3,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-VERTEX,WU3-3,Equation,constructed/open response,,
266,U8-S2-WU3-04,Warm-Up 3,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery Retrieval,S2-MAS-CS-TERM,WU3-4,Equation,constructed/open response,,
267,U8-S2-ETA-01,Exit Ticket A,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-DESCRIBE-ABS,ETA-1,Equation,constructed/open response,,
268,U8-S2-ETA-02,Exit Ticket A,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-RULE-EXP,ETA-2,Table + Equation,constructed/open response,,
269,U8-S2-ETA-03,Exit Ticket A,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-KEY-POINTS,ETA-3,Table,constructed/open response,,
270,U8-S2-ETA-04,Exit Ticket A,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-PARAM-DESCRIPTION,ETA-4,Equation,constructed/open response,,
271,U8-S2-ETB-01,Exit Ticket B,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-TABLE,ETB-1,Table,constructed/open response,,
272,U8-S2-ETB-02,Exit Ticket B,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-FEATURE,ETB-2,Equation,constructed/open response,,
273,U8-S2-ETB-03,Exit Ticket B,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-GRAPH,ETB-3,Graph,constructed/open response,,
274,U8-S2-ETB-04,Exit Ticket B,8.2,Graph exponential functions and analyze key features.,Review,S2-REV-EXP-TABLE,ETB-4,Table,constructed/open response,,
275,U8-S2-ETC-01,Exit Ticket C,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery/Portfolio,S2-MAS-CS-SOLVE,ETC-1,Equation,constructed/open response,,U8-MG02
276,U8-S2-ETC-02,Exit Ticket C,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery/Portfolio,S2-MAS-CS-VERTEX,ETC-2,Equation,constructed/open response,,U8-MG02
277,U8-S2-ETC-03,Exit Ticket C,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery/Portfolio,S2-MAS-CS-TERM,ETC-3,Equation,constructed/open response,,U8-MG02
278,U8-S2-ETC-04,Exit Ticket C,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,Mastery/Portfolio,S2-MAS-CS-SOLVE,ETC-4,Equation,constructed/open response,,U8-MG02
279,U8-S3-WTC-001,WTC,8.3,"I can design an absolute value or piecewise representation for situations with distance, change in direction, or two-part behavior.",Intro,S3-WTC-DISTANCE,WTC,Context + Model,constructed/open response,,
280,U8-S3-EX-01,Notes Example,8.3,"I can design an absolute value or piecewise representation for situations with distance, change in direction, or two-part behavior.",Intro,S3-DISTANCE-MODEL,EX1,Context + Equation,constructed/open response,,
281,U8-S3-YTI-01,Notes YTI,8.3,"I can design an absolute value or piecewise representation for situations with distance, change in direction, or two-part behavior.",Intro,S3-DISTANCE-MODEL,YTI1,Context + Equation,constructed/open response,,
282,U8-S3-EX-02,Notes Example,8.3,"I can apply key features of absolute value graphs to interpret vertex, intercepts, and rate of change.",Intro,S3-ABS-FEATURES,EX2,Equation,constructed/open response,,
283,U8-S3-YTI-02,Notes YTI,8.3,"I can apply key features of absolute value graphs to interpret vertex, intercepts, and rate of change.",Intro,S3-ABS-FEATURES,YTI2,Equation,constructed/open response,,
284,U8-S3-EX-03,Notes Example,8.3,I can predict outputs and intervals from absolute value and piecewise rules in context.,Intro,S3-SYMMETRY-TABLE,EX3,Table,constructed/open response,,
285,U8-S3-YTI-03,Notes YTI,8.3,I can predict outputs and intervals from absolute value and piecewise rules in context.,Intro,S3-SYMMETRY-TABLE,YTI3,Table,constructed/open response,,
286,U8-S3-EX-04,Notes Example,8.3,"I can design an absolute value or piecewise representation for situations with distance, change in direction, or two-part behavior.",Intro,S3-PIECEWISE-EVAL,EX4,Equation,constructed/open response,,
287,U8-S3-YTI-04,Notes YTI,8.3,"I can design an absolute value or piecewise representation for situations with distance, change in direction, or two-part behavior.",Intro,S3-PIECEWISE-EVAL,YTI4,Equation,constructed/open response,,
288,U8-S3-EX-05,Notes Example,8.3,"I can apply key features of absolute value graphs to interpret vertex, intercepts, and rate of change.",Intro,S3-WRITE-PIECEWISE,EX5,Context + Equation,constructed/open response,,
289,U8-S3-YTI-05,Notes YTI,8.3,"I can apply key features of absolute value graphs to interpret vertex, intercepts, and rate of change.",Intro,S3-WRITE-PIECEWISE,YTI5,Context + Equation,constructed/open response,,
290,U8-S3-EX-06,Notes Example,8.3,I can predict outputs and intervals from absolute value and piecewise rules in context.,Intro,S3-DOMAIN-RESTRICTION,EX6,Context,constructed/open response,,
291,U8-S3-YTI-06,Notes YTI,8.3,I can predict outputs and intervals from absolute value and piecewise rules in context.,Intro,S3-DOMAIN-RESTRICTION,YTI6,Context,constructed/open response,,
292,U8-S3-P1-01,Practice Set 1,8.3,"I can design an absolute value or piecewise representation for situations with distance, change in direction, or two-part behavior.",Intro,S3-ABS-FEATURES,P1-1,Equation,constructed/open response,,
293,U8-S3-P1-02,Practice Set 1,8.3,"I can apply key features of absolute value graphs to interpret vertex, intercepts, and rate of change.",Intro,S3-SYMMETRY-TABLE,P1-2,Table,constructed/open response,,
294,U8-S3-P1-03,Practice Set 1,8.3,I can predict outputs and intervals from absolute value and piecewise rules in context.,Intro,S3-PIECEWISE-EVAL,P1-3,Equation,constructed/open response,,
295,U8-S3-P1-04,Practice Set 1,8.3,"I can design an absolute value or piecewise representation for situations with distance, change in direction, or two-part behavior.",Intro,S3-WRITE-PIECEWISE,P1-4,Context + Equation,constructed/open response,,
296,U8-S3-P1-05,Practice Set 1,8.3,"I can apply key features of absolute value graphs to interpret vertex, intercepts, and rate of change.",Intro,S3-DOMAIN-RESTRICTION,P1-5,Context,constructed/open response,,
297,U8-S3-P1-06,Practice Set 1,8.3,I can predict outputs and intervals from absolute value and piecewise rules in context.,Intro,S3-GRAPH-ABS,P1-6,Graph,constructed/open response,,
298,U8-S3-P1-07,Practice Set 1,8.3,"I can design an absolute value or piecewise representation for situations with distance, change in direction, or two-part behavior.",Intro,S3-ABS-EQUATION,P1-7,Equation + Context,constructed/open response,,
299,U8-S3-P1-08,Practice Set 1,8.3,"I can apply key features of absolute value graphs to interpret vertex, intercepts, and rate of change.",Intro,S3-ABS-PIECEWISE-CONNECT,P1-8,Multiple representations,constructed/open response,,
300,U8-S3-P1-09,Practice Set 1,8.3,I can predict outputs and intervals from absolute value and piecewise rules in context.,Intro,S3-INTERVAL-BEHAVIOR,P1-9,Equation,constructed/open response,,
301,U8-S3-P1-10,Practice Set 1,8.3,"I can design an absolute value or piecewise representation for situations with distance, change in direction, or two-part behavior.",Intro,S3-DISTANCE-MODEL,P1-10,Context + Equation,constructed/open response,,
